id,short_code,uuid,product,colorway,size,is_pre_produced,rfid
11312,p6LEX9Br,05a9f7d3-b9ca-4055-b53f-780982e7b1c8,72,,M,0,
1019,,05b2820d-2d9c-44a3-9537-cc576beedaee,4,,M,0,
13006,JsjqMTwr,05bb1dda-db9b-4dd2-be9b-acb6f48c9a00,78,,XXS-XL,0,
2446,BQj5NPD1,05c2a98b-246c-4b22-9b23-eeb600589450,8,,s,0,
4089,MPjCoxzs,05cfed13-da3b-447a-a03c-e6d8d2074507,38,,M,0,
1235,,05d0672e-ed3d-4f0d-a195-2393ed73e748,4,,M,0,
2053,BETmysa8,05d25f1e-ab78-41a8-8abb-28932d8427e8,4,,M,0,
13553,u3h1LatX,05d88754-66bf-417c-8605-e94139e67d9d,103,,38,0,
11557,92hWpiDS,05e25913-257c-408e-957c-f311d03c4a14,72,,M,0,
6776,rmRkqFnQ,05eab130-8f0c-4bff-a470-6ba6b7c0c4dc,66,,XL,0,
2954,KB2CMzTq,05ecf3bd-e770-4e43-a5ad-84a54272c7d8,23,,One size,0,
3905,epyoq67e,05ee92a2-7a92-4d8a-96f7-6a8fb04f0fbd,38,,M,0,
4961,tWhXB6RQ,05f153eb-005c-4422-ac4a-b6c854716301,22,,L,0,
13604,ywn5n1hk,05fe115c-65b6-460b-8635-c3a8394d66e5,103,,38,0,
13024,gUzBmMMf,0605a9ec-6fb1-4037-b936-702b467ee49c,80,,XXS-XL,0,
2280,kUOyT6Nx,061cfdf0-76a4-48a2-9a5c-c5dc434953bd,4,,M,0,
13476,MBxp5MTG,0621267a-1a29-4e3a-bff4-f6d1faa49141,103,,36,0,
13825,Xw6HRLFM,062c356f-7c4e-4f90-8436-54edb3de1600,103,,42,0,
6755,cVKqktbV,062fdeb1-a026-4d6f-b9f3-823267bf86a6,66,,XL,0,
12699,Wtf93A3L,06434ee8-40e7-4d93-b281-ce2de527128b,72,,M,0,
662,,0643af9b-6e19-4de4-a1f2-504ae6fab63a,4,,M,0,
1824,1ZXDZ8AS,06615628-c278-4bb8-b142-00b633610921,4,,M,0,
10157,B1Bj3VcX,0666c394-4aa0-4844-990c-c87d6e1f2ea7,72,,M,0,
41,,0674ebdc-2b03-45a7-8fbf-7cb395f7184e,3,,l,0,
5741,3biCn6Dy,067ca853-96ee-46a9-85b9-02c99167f7e1,66,,M,0,
3601,p8YFU4aE,067f45bb-f7e3-4b53-8b6e-1396e21a3723,38,,S,0,
10626,QEGT2Z4E,06869b7d-6a52-4aba-a40e-234ffa26cedf,72,,M,0,
9724,dGSrEmh6,06869c2c-3ff9-47ca-9de1-56378a743ca5,72,,M,0,
3187,hD3eYaZC,0698f891-a88b-47bb-9a5d-64dca3aec605,23,,One size,0,
12612,CzqwU7q2,0699cffc-a817-4a37-a3f7-3c2034ca1c96,72,,M,0,
10593,XY6fCyY5,069cd1dd-3b6e-4c69-9999-96520e97ac3e,72,,M,0,
4191,VbgSmE4g,06a04d6e-37d4-40ab-9ac5-d76e018488dd,38,,M,0,
1895,eTeaF1sO,06a0c94c-459d-49e3-a4e9-351ebd6b259c,4,,M,0,
6877,XnqQEKev,06a1a8bf-b88c-465e-a823-6dba5ed1930d,66,,XL,0,
812,,06a20c13-6799-44a0-894f-03a20ed01345,4,,M,0,
3626,E4J33yCu,06a3b79d-fb0b-497c-bbb4-1cbb3c21ca99,38,,S,0,
10520,FajcBhju,06a9df8b-c96a-4f81-a779-ba6e1ca0cde9,72,,M,0,
4892,wjoDMm3p,06ae62de-3d9c-4d65-9b93-7538262e5f8f,22,,L,0,
