serial_no;sku_serial_no;sku;label;qr_code
7665;1575;men-t-shirt-sku4;circularity.id/tQu6n3za;https://circularity.id/QZbonMNS
7666;1576;men-t-shirt-sku4;circularity.id/GAVeDfTB;https://circularity.id/cXaboVRR
7667;1577;men-t-shirt-sku4;circularity.id/rZuZVhnr;https://circularity.id/WkN2NBGx
7668;1578;men-t-shirt-sku4;circularity.id/V2NFue1e;https://circularity.id/FdZrbhCa
7669;1579;men-t-shirt-sku4;circularity.id/AUcpVjsy;https://circularity.id/SH25TzdX
7670;1580;men-t-shirt-sku4;circularity.id/gHpCrP1b;https://circularity.id/e1o2LYbR
7671;1581;men-t-shirt-sku4;circularity.id/x6dobcEn;https://circularity.id/iRGMxcFb
7672;1582;men-t-shirt-sku4;circularity.id/FNSpm3sN;https://circularity.id/TqzULZsw
7673;1583;men-t-shirt-sku4;circularity.id/nkgt65q1;https://circularity.id/CrPzw1JZ
7674;1584;men-t-shirt-sku4;circularity.id/UazTNXNJ;https://circularity.id/SmxfTH72
7675;1585;men-t-shirt-sku4;circularity.id/fgVgZkrA;https://circularity.id/rmqfm3h4
7676;1586;men-t-shirt-sku4;circularity.id/svG8a1ie;https://circularity.id/MMAYxyGc
7677;1587;men-t-shirt-sku4;circularity.id/7sEXAMQx;https://circularity.id/8TE5AYCo
7678;1588;men-t-shirt-sku4;circularity.id/g8YEG5eL;https://circularity.id/q7ZAqvLK
7679;1589;men-t-shirt-sku4;circularity.id/NBLXnJsz;https://circularity.id/gs21x1vK
7680;1590;men-t-shirt-sku4;circularity.id/HmFusofg;https://circularity.id/pWfopxSw
7681;1591;men-t-shirt-sku4;circularity.id/Cj6AcBxU;https://circularity.id/iKtaisBk
7682;1592;men-t-shirt-sku4;circularity.id/ZRnpKK3s;https://circularity.id/j4nsoebY
7683;1593;men-t-shirt-sku4;circularity.id/c5XCHwjt;https://circularity.id/L4i8iNAq
7684;1594;men-t-shirt-sku4;circularity.id/rq8paJDW;https://circularity.id/fvZm65MR
7685;1595;men-t-shirt-sku4;circularity.id/vx9yTkRh;https://circularity.id/Zrs7YbYe
7686;1596;men-t-shirt-sku4;circularity.id/WeJFCqqk;https://circularity.id/csQWXodY
7687;1597;men-t-shirt-sku4;circularity.id/6HSvwtFr;https://circularity.id/ADjif2kJ
7688;1598;men-t-shirt-sku4;circularity.id/94WCPZnT;https://circularity.id/uqyoFk3X
7689;1599;men-t-shirt-sku4;circularity.id/orLPq4Bu;https://circularity.id/DZVyLm25
7690;1600;men-t-shirt-sku4;circularity.id/Uv2Za4Mx;https://circularity.id/cJTe6nGA
7691;1601;men-t-shirt-sku4;circularity.id/Pohuq81k;https://circularity.id/SHf4HqQV
7692;1602;men-t-shirt-sku4;circularity.id/iK2gzSZJ;https://circularity.id/skmPYxZb
7693;1603;men-t-shirt-sku4;circularity.id/8eXFxmrC;https://circularity.id/HzdzzwRN
7694;1604;men-t-shirt-sku4;circularity.id/zzDc5e5e;https://circularity.id/T2gXGBAd
7695;1605;men-t-shirt-sku4;circularity.id/hutbf9qd;https://circularity.id/5z3jsT1z
7696;1606;men-t-shirt-sku4;circularity.id/xJyfzbXe;https://circularity.id/TP1TSair
7697;1607;men-t-shirt-sku4;circularity.id/uJUqok9t;https://circularity.id/o4L2XRvR
